type,date,time,value
daily,15/09/2022,8:24:00,20
daily,16/09/2022,9:48:00,20
daily,17/09/2022,10:12:00,20
daily,18/09/2022,11:36:00,20
daily,19/09/2022,12:00:00,20
daily,20/09/2022,13:24:00,20
weekly,20/09/2022,13:45:00,100
daily,21/09/2022,14:48:00,20
daily,22/09/2022,15:12:00,20
daily,23/09/2022,16:36:00,20
montly,24/09/2022,8:00:00,200
daily,24/09/2022,17:00:00,20
daily,25/09/2022,18:24:00,20
daily,26/09/2022,19:48:00,20
daily,27/09/2022,20:12:00,20
weekly,28/09/2022,15:15:00,100
daily,28/09/2022,21:36:00,20
daily,29/09/2022,22:00:00,20
daily,30/09/2022,23:24:00,20
daily,1/10/2022,7:48:00,20
daily,2/10/2022,8:12:00,20
daily,3/10/2022,9:36:00,20
daily,4/10/2022,10:00:00,20
daily,5/10/2022,11:24:00,20
daily,6/10/2022,12:48:00,20
weekly,6/10/2022,17:45:00,100
daily,7/10/2022,13:12:00,20
daily,8/10/2022,14:36:00,20
daily,9/10/2022,15:00:00,20
daily,10/10/2022,16:24:00,20
daily,11/10/2022,17:48:00,20
daily,12/10/2022,18:12:00,20
daily,13/10/2022,19:36:00,20
weekly,14/10/2022,19:15:00,100
daily,14/10/2022,20:00:00,20
daily,15/10/2022,21:24:00,20
daily,16/10/2022,22:48:00,20
daily,17/10/2022,23:12:00,20
daily,18/10/2022,7:36:00,20
daily,19/10/2022,8:00:00,20
daily,20/10/2022,9:24:00,20
daily,21/10/2022,10:48:00,20
daily,22/10/2022,11:12:00,20
weekly,22/10/2022,21:45:00,100
daily,23/10/2022,12:36:00,20
daily,24/10/2022,13:00:00,20
daily,25/10/2022,14:24:00,20
daily,26/10/2022,15:48:00,20
daily,27/10/2022,16:12:00,20
daily,28/10/2022,17:36:00,20
montly,29/10/2022,9:00:00,200
daily,29/10/2022,18:00:00,20
weekly,30/10/2022,9:15:00,100
daily,30/10/2022,19:24:00,20
weekly,31/10/2022,11:45:00,100
daily,31/10/2022,20:48:00,20
daily,1/11/2022,21:12:00,20
daily,2/11/2022,22:36:00,20
daily,3/11/2022,23:00:00,20
daily,4/11/2022,7:24:00,20
daily,5/11/2022,8:48:00,20
daily,6/11/2022,9:12:00,20
daily,7/11/2022,10:36:00,20
daily,8/11/2022,11:00:00,20
weekly,8/11/2022,13:15:00,100
daily,9/11/2022,12:24:00,20
daily,10/11/2022,13:48:00,20
daily,11/11/2022,14:12:00,20
daily,12/11/2022,15:36:00,20
daily,13/11/2022,16:00:00,20
daily,14/11/2022,17:24:00,20
daily,15/11/2022,18:48:00,20
weekly,16/11/2022,15:45:00,100
daily,16/11/2022,19:12:00,20
daily,17/11/2022,20:36:00,20
daily,18/11/2022,21:00:00,20
daily,19/11/2022,22:24:00,20
daily,20/11/2022,23:48:00,20
daily,21/11/2022,7:12:00,20
daily,22/11/2022,8:36:00,20
daily,23/11/2022,9:00:00,20
